TYPES OF PADDY,X,Y,PERIOD,STARTING DURATION,ENDING DURATION,AVERAGE YIELD(Kg/ha),1000 GRAIN WEIGHT(g),GRAIN TYPE,HABIT,RICE COLOR,SPECIAL FEATURES,STARTING MONTH,ENDING MONTH,DISTRICT,RAINFALL ACTUAL(in mm),RAINFALL NORMAL(in mm),TMAX (°F),TMIN (°F)
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Karur,164.4,213.6,96,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Perambalur,180,290.7,98,81
ASD 16,ADT 41,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Thanjavur,151,318,98,82
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Nagapattinam,164.8,286.1,94,84
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Tiruvarur,181.7,296.4,96,84
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",June,July,Pudukottai,277.7,350.6,97,81
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Madurai,273.8,335.9,98,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Dindigal,267,295.4,97,78
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Theni,474,158.4,95,76
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",September,October,Tirunelveli,344.5,142.4,89,75
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",September,October,Thoothukudi,348.8,427,89,77
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Kanyakumari,579.8,477.4,89,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Salem,330.6,440.6,98,79
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Namakkal,256.7,339.3,99,80
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Dharmapuri,170.6,393.4,96,77
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Krishnagiri,222.2,399,95,77
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Erode,282.9,229.8,86,70
ASD 16,ADT 31,CO 39,Short,110,115,5600,24.2,Short Bold,Semi dwarf erect,White,"Medium tillering, Resistant to Blast",May,June,Coimbatore,652.3,189.8,92,75
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Kanchipuram,397,490.8,100,78
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Thiruvallur,9.5,67.2,99,79
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Vellore,318.1,466.1,103,78
ASD 17,ADT 31,RATNA,Short,,,,,,,,,April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Kanchipuram,8.4,66,100,78
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Thiruvallur,9.5,67.2,99,79
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Vellore,318.1,466.1,103,78
ASD 17,ASD 8,IR 8,Short,95,101,5422,23.8,Short bold,"Semi dwarf, slightly open",White,"Moderately resistant to Brown Plant Hopper, Susceptible to gall midge",April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Kanchipuram,397,490.8,100,78
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Thiruvallur,9.5,67.2,99,79
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Vellore,35.7,106.5,103,78
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Cuddalore,2.2,44.1,83,74
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Villupuram,0,28.2,84,70
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Tiruchirappali,208.1,391.1,85,71
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Karur,0,17.5,86,70
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Perambalur,0,21.4,84,71
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Thanjavur,151,318,84,73
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Nagapattinam,2.6,85.7,83,77
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Tiruvarur,0.6,60.1,83,76
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,June,July,Pudukottai,277.7,350.6,97,81
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Madurai,273.8,335.9,98,79
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Dindigal,267,295.4,97,78
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Theni,474,158.4,95,76
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Kanyakumari,579.8,477.4,89,79
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Salem,330.6,440.6,98,79
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Namakkal,256.7,339.3,99,80
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Dharmapuri,170.6,393.4,96,77
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Krishnagiri,222.2,399,95,77
ASD 20,IR 58,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Erode,1.8,16.1,86,70
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Kanchipuram,397,490.8,100,78
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Thiruvallur,9.5,67.2,99,79
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Vellore,318.1,466.1,103,78
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,April,May,Tiruvannamalai,44.3,98.9,102,76
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Cuddalore,2.2,44.1,83,74
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Villupuram,0,28.2,84,70
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Tiruchirappali,208.1,391.1,85,71
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Karur,0,17.5,86,70
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Perambalur,0,21.4,84,71
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Thanjavur,3,42.3,84,73
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Nagapattinam,2.6,85.7,83,77
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Tiruvarur,0.6,60.1,83,76
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,June,July,Pudukottai,277.7,350.6,97,81
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Madurai,273.8,335.9,98,79
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Dindigal,267,295.4,97,78
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Theni,474,158.4,95,76
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Kanyakumari,579.8,477.4,89,79
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Salem,330.6,440.6,98,79
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Namakkal,256.7,339.3,99,80
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Dharmapuri,170.6,393.4,96,77
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,May,June,Krishnagiri,222.2,399,95,77
ASD 20,IR 18348,IR25863,Short,105,110,6000,22.08,Long Slender,Erect,White,Resistant to many pest and diseases,December,January,Erode,1.8,16.1,86,70
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",April,May,Kanchipuram,397,490.8,100,78
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",April,May,Thiruvallur,9.5,67.2,99,79
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",April,May,Vellore,318.1,466.1,103,78
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",April,May,Tiruvannamalai,44.3,98.9,102,76
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",April,May,Cuddalore,5.6,81.7,93,81
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",April,May,Villupuram,22.5,76,97,79
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Tiruchirappali,143.2,293.9,98,81
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Karur,164.4,213.6,96,79
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Perambalur,180,290.7,98,81
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Thanjavur,151,318,98,82
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Nagapattinam,164.8,286.1,94,84
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Tiruvarur,181.7,296.4,96,84
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",June,July,Pudukottai,277.7,350.6,97,81
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Madurai,273.8,335.9,98,79
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Dindigal,267,295.4,97,78
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Theni,474,158.4,95,76
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",July,August,Ramanathapuram,96.5,149.3,91,81
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",July,August,Virudhunagar,227.4,196.8,92,75
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",July,August,Sivaganga,305.7,301,94,79
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",July,August,Tirunelveli,344.5,142.4,88,75
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",July,August,Thoothukudi,57.9,74.9,94,78
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Kanyakumari,579.8,477.4,89,79
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",December,January,Salem,6,16,84,68
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",December,January,Namakkal,5.8,13.9,85,69
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Dharmapuri,170.6,393.4,96,77
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Krishnagiri,222.2,399,95,77
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Coimbatore,652.3,189.8,92,75
MDU 5,O.glaberrima,Pokkali,Short,95,100,5000,21.1,Medium slender,Erect,White,"Resistant to Drought, suitable for dry and transplanted condition",May,June,Erode,282.9,229.8,99,80
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Kanchipuram,397,490.8,95,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Thiruvallur,364.3,451.6,95,78
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Vellore,318.1,466.1,95,74
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Tiruvannamalai,309.7,468.1,95,75
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Cuddalore,274.6,383.1,93,81
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Villupuram,257.1,408.3,95,79
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Tiruchirappali,143.2,293.9,96,79
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Karur,164.4,213.6,95,78
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Perambalur,180,290.7,95,79
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Thanjavur,151,318,95,80
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Nagapattinam,164.8,286.1,92,82
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Tiruvarur,181.7,296.4,94,82
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Pudukottai,277.7,350.6,95,79
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Madurai,273.8,335.9,93,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Dindigal,267,295.4,92,75
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Theni,474,158.4,95,76
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Ramanathapuram,96.5,149.3,91,81
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Virudhunagar,227.4,196.8,92,75
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Tirunelveli,519.8,467.2,90,75
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Thoothukudi,348.8,427,89,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,September,October,Kanyakumari,402.8,496.4,86,78
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Salem,330.6,440.6,93,76
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Namakkal,256.7,339.3,94,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,May,June,Dharmapuri,170.6,393.4,96,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,May,June,Krishnagiri,222.2,399,95,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Coimbatore,652.3,189.8,86,72
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,August,August,Erode,282.9,229.8,95,77
IR 20,IR 262,TKM 6,Medium,130,135,5000,19,Medium slender,Semi-dwarf,White,Resistant to stem borer,July,August,The Nilgiris,876.9,759.9,88,80
IR 36,O.nivara,CR 94-13,Medium,115,120,5000,21,Medium,Dwarf Erect,White,"Resistant to Brown Plant Hopper, Moderately resistant to stem borer and Bacterial Leaf Blight",April,May,Kanchipuram,397,490.8,100,78
IR 36,O.nivara,CR 94-13,Medium,115,120,5000,21,Medium,Dwarf Erect,White,"Resistant to Brown Plant Hopper, Moderately resistant to stem borer and Bacterial Leaf Blight",April,May,Tiruvallur,9.5,67.2,99,79
IR 36,O.nivara,CR 94-13,Medium,115,120,5000,21,Medium,Dwarf Erect,White,"Resistant to Brown Plant Hopper, Moderately resistant to stem borer and Bacterial Leaf Blight",December,January,Cuddalore,2.2,44.1,83,74
IR 36,O.nivara,CR 94-13,Medium,115,120,5000,21,Medium,Dwarf Erect,White,"Resistant to Brown Plant Hopper, Moderately resistant to stem borer and Bacterial Leaf Blight",December,January,Villupuram,0,28.2,84,70
